Precinct,Polling Place,For,Against,Total,% For,% Against,Large Precinct,60 or 69,1968 Precinct,1969 Precincts,description,1960 Precincts
121,Palm School,62,42,104,60%,40%,1,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.74519,30.261773,0.0 -97.742872,30.259772,0.0 -97.740254,30.253433,0.0 -97.732701,30.249318,0.0 -97.726178,30.26396,0.0 -97.742486,30.269075,0.0 -97.74519,30.261773,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.74519,30.261773,0.0 -97.742872,30.259772,0.0 -97.740254,30.253433,0.0 -97.732701,30.249318,0.0 -97.726178,30.26396,0.0 -97.742486,30.269075,0.0 -97.74519,30.261773,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
122,Pan American Recreation Center,124,48,172,72%,28%,1,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.726178,30.26396,0.0 -97.732701,30.249318,0.0 -97.728796,30.247501,0.0 -97.723818,30.246241,0.0 -97.719955,30.247872,0.0 -97.71369,30.260921,0.0 -97.717981,30.261588,0.0 -97.722101,30.262626,0.0 -97.726178,30.26396,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.726178,30.26396,0.0 -97.732701,30.249318,0.0 -97.728796,30.247501,0.0 -97.723818,30.246241,0.0 -97.719955,30.247872,0.0 -97.71369,30.260921,0.0 -97.717981,30.261588,0.0 -97.722101,30.262626,0.0 -97.726178,30.26396,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
123,American Public Health Center,50,46,96,52%,48%,1,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.742486,30.269075,0.0 -97.733989,30.266444,0.0 -97.731028,30.274598,0.0 -97.729053,30.278526,0.0 -97.738152,30.280639,0.0 -97.742486,30.269075,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.742486,30.269075,0.0 -97.733989,30.266444,0.0 -97.731028,30.274598,0.0 -97.729053,30.278526,0.0 -97.738152,30.280639,0.0 -97.742486,30.269075,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
124,Wesley Chapel Methodist Church,344,27,371,93%,7%,1,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.726994,30.282899,0.0 -97.731028,30.274598,0.0 -97.733989,30.266444,0.0 -97.722101,30.262626,0.0 -97.718968,30.269298,0.0 -97.7212,30.279749,0.0 -97.722037,30.283993,0.0 -97.726994,30.282899,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.718797,30.269742,0.0 -97.719054,30.269668,0.0 -97.722058,30.283826,0.0 -97.727423,30.282936,0.0 -97.73459,30.265739,0.0 -97.726521,30.263071,0.0 -97.72253,30.261662,0.0 -97.718797,30.269742,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.726994,30.282899,0.0 -97.731028,30.274598,0.0 -97.733989,30.266444,0.0 -97.722101,30.262626,0.0 -97.718968,30.269298,0.0 -97.7212,30.279749,0.0 -97.722037,30.283993,0.0 -97.726994,30.282899,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
125,Doris Miller Auditorium,227,15,242,94%,6%,1,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.722101,30.262626,0.0 -97.717981,30.261588,0.0 -97.71369,30.260921,0.0 -97.712316,30.263515,0.0 -97.711544,30.264183,0.0 -97.708712,30.265665,0.0 -97.704849,30.272485,0.0 -97.697983,30.273597,0.0 -97.69824,30.274412,0.0 -97.700386,30.276858,0.0 -97.719955,30.273819,0.0 -97.718968,30.269298,0.0 -97.722101,30.262626,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.704935,30.272374,0.0 -97.707167,30.272411,0.0 -97.708025,30.272263,0.0 -97.709227,30.271929,0.0 -97.710214,30.271299,0.0 -97.710772,30.271077,0.0 -97.718797,30.269742,0.0 -97.72253,30.261662,0.0 -97.714548,30.258845,0.0 -97.71266,30.263145,0.0 -97.711587,30.264108,0.0 -97.70884,30.265517,0.0 -97.704935,30.272374,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.722101,30.262626,0.0 -97.717981,30.261588,0.0 -97.71369,30.260921,0.0 -97.712316,30.263515,0.0 -97.711544,30.264183,0.0 -97.708712,30.265665,0.0 -97.704849,30.272485,0.0 -97.697983,30.273597,0.0 -97.69824,30.274412,0.0 -97.700386,30.276858,0.0 -97.719955,30.273819,0.0 -97.718968,30.269298,0.0 -97.722101,30.262626,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
126,Govalle School,133,73,206,65%,35%,1,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.719955,30.247872,0.0 -97.716436,30.249577,0.0 -97.70957,30.250541,0.0 -97.705107,30.250245,0.0 -97.69043,30.273523,0.0 -97.696524,30.273819,0.0 -97.704849,30.272485,0.0 -97.708712,30.265665,0.0 -97.711544,30.264183,0.0 -97.712316,30.263515,0.0 -97.719955,30.247872,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.719955,30.247872,0.0 -97.716436,30.249577,0.0 -97.70957,30.250541,0.0 -97.705107,30.250245,0.0 -97.69043,30.273523,0.0 -97.696524,30.273819,0.0 -97.704849,30.272485,0.0 -97.708712,30.265665,0.0 -97.711544,30.264183,0.0 -97.712316,30.263515,0.0 -97.719955,30.247872,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
127,Allan Jr High School,61,37,98,62%,38%,1,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.705107,30.250245,0.0 -97.70339,30.250096,0.0 -97.700901,30.249577,0.0 -97.699614,30.248243,0.0 -97.699528,30.246463,0.0 -97.697983,30.245203,0.0 -97.694807,30.24498,0.0 -97.690773,30.245648,0.0 -97.691116,30.247872,0.0 -97.689829,30.2498,0.0 -97.683477,30.250764,0.0 -97.678928,30.253433,0.0 -97.671118,30.26611,0.0 -97.69,30.27419,0.0 -97.705107,30.250245,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.705107,30.250245,0.0 -97.70339,30.250096,0.0 -97.700901,30.249577,0.0 -97.699614,30.248243,0.0 -97.699528,30.246463,0.0 -97.697983,30.245203,0.0 -97.694807,30.24498,0.0 -97.690773,30.245648,0.0 -97.691116,30.247872,0.0 -97.689829,30.2498,0.0 -97.683477,30.250764,0.0 -97.678928,30.253433,0.0 -97.671118,30.26611,0.0 -97.69,30.27419,0.0 -97.705107,30.250245,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
128,David Chapel Baptist Church,514,34,548,94%,6%,1,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.719955,30.273819,0.0 -97.700386,30.276858,0.0 -97.706394,30.286346,0.0 -97.722037,30.283993,0.0 -97.719955,30.273819,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.722058,30.283826,0.0 -97.719054,30.269668,0.0 -97.714913,30.270298,0.0 -97.710772,30.271077,0.0 -97.710214,30.271299,0.0 -97.709227,30.271929,0.0 -97.707167,30.272411,0.0 -97.704935,30.272374,0.0 -97.697897,30.273671,0.0 -97.69824,30.274486,0.0 -97.7003,30.276636,0.0 -97.704163,30.282566,0.0 -97.708668,30.28201,0.0 -97.709141,30.286049,0.0 -97.722058,30.283826,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.719955,30.273819,0.0 -97.700386,30.276858,0.0 -97.706394,30.286346,0.0 -97.722037,30.283993,0.0 -97.719955,30.273819,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
129,Sims School,462,17,479,96%,4%,1,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.671118,30.26611,0.0 -97.66511,30.285679,0.0 -97.672234,30.28679,0.0 -97.682705,30.285901,0.0 -97.703905,30.282566,0.0 -97.700386,30.276858,0.0 -97.69824,30.274412,0.0 -97.697983,30.273597,0.0 -97.696524,30.273819,0.0 -97.69043,30.273523,0.0 -97.69,30.27419,0.0 -97.671118,30.26611,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.704163,30.282566,0.0 -97.7003,30.276636,0.0 -97.69824,30.274486,0.0 -97.697897,30.273671,0.0 -97.696438,30.273856,0.0 -97.690515,30.27356,0.0 -97.688971,30.275969,0.0 -97.682362,30.279601,0.0 -97.680044,30.279972,0.0 -97.676697,30.282343,0.0 -97.670946,30.284048,0.0 -97.669573,30.286346,0.0 -97.672577,30.28679,0.0 -97.682447,30.285827,0.0 -97.704163,30.282566,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.671118,30.26611,0.0 -97.66511,30.285679,0.0 -97.672234,30.28679,0.0 -97.682705,30.285901,0.0 -97.703905,30.282566,0.0 -97.700386,30.276858,0.0 -97.69824,30.274412,0.0 -97.697983,30.273597,0.0 -97.696524,30.273819,0.0 -97.69043,30.273523,0.0 -97.69,30.27419,0.0 -97.671118,30.26611,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
130,Robert E Lee School,250,211,461,54%,46%,1,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.719269,30.294721,0.0 -97.723217,30.296499,0.0 -97.725019,30.296425,0.0 -97.727165,30.297537,0.0 -97.727766,30.294572,0.0 -97.730255,30.290867,0.0 -97.731371,30.289903,0.0 -97.733259,30.289533,0.0 -97.734117,30.288347,0.0 -97.734632,30.290719,0.0 -97.736092,30.293164,0.0 -97.736692,30.289533,0.0 -97.73695,30.287235,0.0 -97.738152,30.280639,0.0 -97.729053,30.278526,0.0 -97.726994,30.282899,0.0 -97.719269,30.294721,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.719269,30.294721,0.0 -97.723217,30.296499,0.0 -97.725019,30.296425,0.0 -97.727165,30.297537,0.0 -97.727766,30.294572,0.0 -97.730255,30.290867,0.0 -97.731371,30.289903,0.0 -97.733259,30.289533,0.0 -97.734117,30.288347,0.0 -97.734632,30.290719,0.0 -97.736092,30.293164,0.0 -97.736692,30.289533,0.0 -97.73695,30.287235,0.0 -97.738152,30.280639,0.0 -97.729053,30.278526,0.0 -97.726994,30.282899,0.0 -97.719269,30.294721,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
131,Maplewood School,226,552,778,29%,71%,1,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.726994,30.282899,0.0 -97.722037,30.283993,0.0 -97.706394,30.286346,0.0 -97.707252,30.288347,0.0 -97.708197,30.296425,0.0 -97.709312,30.298352,0.0 -97.714977,30.301538,0.0 -97.726994,30.282899,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.727423,30.282936,0.0 -97.722058,30.283826,0.0 -97.709141,30.286049,0.0 -97.708668,30.28201,0.0 -97.704163,30.282566,0.0 -97.706394,30.286272,0.0 -97.707252,30.288717,0.0 -97.708197,30.296351,0.0 -97.70854,30.297092,0.0 -97.709913,30.298871,0.0 -97.707467,30.303021,0.0 -97.713368,30.30517,0.0 -97.715321,30.301835,0.0 -97.727423,30.282936,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.726994,30.282899,0.0 -97.722037,30.283993,0.0 -97.706394,30.286346,0.0 -97.707252,30.288347,0.0 -97.708197,30.296425,0.0 -97.709312,30.298352,0.0 -97.714977,30.301538,0.0 -97.726994,30.282899,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
132,Pecan Springs School,248,238,486,51%,49%,1,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.703905,30.282566,0.0 -97.682705,30.285901,0.0 -97.672234,30.28679,0.0 -97.66511,30.285679,0.0 -97.66365,30.292201,0.0 -97.666225,30.29309,0.0 -97.668457,30.292497,0.0 -97.671804,30.293979,0.0 -97.675838,30.29272,0.0 -97.688885,30.299093,0.0 -97.69103,30.301316,0.0 -97.695322,30.301538,0.0 -97.698927,30.303762,0.0 -97.688541,30.320878,0.0 -97.696009,30.32073,0.0 -97.708712,30.310505,0.0 -97.714977,30.301538,0.0 -97.709312,30.298352,0.0 -97.708197,30.296425,0.0 -97.707252,30.288347,0.0 -97.706394,30.286346,0.0 -97.703905,30.282566,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.665367,30.285605,0.0 -97.66099,30.302576,0.0 -97.662363,30.303169,0.0 -97.662792,30.304058,0.0 -97.664938,30.305244,0.0 -97.666311,30.308949,0.0 -97.66717,30.309986,0.0 -97.669229,30.308875,0.0 -97.673092,30.307985,0.0 -97.676353,30.308059,0.0 -97.678757,30.307689,0.0 -97.679615,30.307244,0.0 -97.681332,30.304503,0.0 -97.68528,30.300723,0.0 -97.687511,30.297463,0.0 -97.688284,30.295832,0.0 -97.689142,30.294943,0.0 -97.689314,30.291534,0.0 -97.690086,30.290126,0.0 -97.691116,30.289681,0.0 -97.692575,30.289607,0.0 -97.694979,30.2902,0.0 -97.696953,30.289903,0.0 -97.700643,30.287976,0.0 -97.702103,30.287013,0.0 -97.706394,30.286272,0.0 -97.704163,30.282566,0.0 -97.682447,30.285827,0.0 -97.672577,30.28679,0.0 -97.665367,30.285605,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.703905,30.282566,0.0 -97.682705,30.285901,0.0 -97.672234,30.28679,0.0 -97.66511,30.285679,0.0 -97.66365,30.292201,0.0 -97.666225,30.29309,0.0 -97.668457,30.292497,0.0 -97.671804,30.293979,0.0 -97.675838,30.29272,0.0 -97.688885,30.299093,0.0 -97.69103,30.301316,0.0 -97.695322,30.301538,0.0 -97.698927,30.303762,0.0 -97.688541,30.320878,0.0 -97.696009,30.32073,0.0 -97.708712,30.310505,0.0 -97.714977,30.301538,0.0 -97.709312,30.298352,0.0 -97.708197,30.296425,0.0 -97.707252,30.288347,0.0 -97.706394,30.286346,0.0 -97.703905,30.282566,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
133,Blanton School,191,420,611,31%,69%,1,69,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.698927,30.303836,0.0 -97.697382,30.302428,0.0 -97.694979,30.301464,0.0 -97.691288,30.30139,0.0 -97.690258,30.300723,0.0 -97.689228,30.299241,0.0 -97.686996,30.29813,0.0 -97.68528,30.300723,0.0 -97.681332,30.304503,0.0 -97.679615,30.307244,0.0 -97.678757,30.307689,0.0 -97.6791,30.308356,0.0 -97.684851,30.31132,0.0 -97.684679,30.312505,0.0 -97.691374,30.315765,0.0 -97.698927,30.303836,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.698927,30.303836,0.0 -97.697382,30.302428,0.0 -97.694979,30.301464,0.0 -97.691288,30.30139,0.0 -97.690258,30.300723,0.0 -97.689228,30.299241,0.0 -97.686996,30.29813,0.0 -97.68528,30.300723,0.0 -97.681332,30.304503,0.0 -97.679615,30.307244,0.0 -97.678757,30.307689,0.0 -97.6791,30.308356,0.0 -97.684851,30.31132,0.0 -97.684679,30.312505,0.0 -97.691374,30.315765,0.0 -97.698927,30.303836,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,
134,Andrews School,266,193,459,58%,42%,1,69,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.66717,30.309986,0.0 -97.66305,30.316062,0.0 -97.665367,30.319544,0.0 -97.673349,30.325471,0.0 -97.680387,30.323026,0.0 -97.683735,30.321767,0.0 -97.688198,30.321026,0.0 -97.691374,30.315765,0.0 -97.684679,30.312505,0.0 -97.684851,30.31132,0.0 -97.6791,30.308356,0.0 -97.678757,30.307689,0.0 -97.676353,30.308059,0.0 -97.673092,30.307985,0.0 -97.669229,30.308875,0.0 -97.66717,30.309986,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.66717,30.309986,0.0 -97.66305,30.316062,0.0 -97.665367,30.319544,0.0 -97.673349,30.325471,0.0 -97.680387,30.323026,0.0 -97.683735,30.321767,0.0 -97.688198,30.321026,0.0 -97.691374,30.315765,0.0 -97.684679,30.312505,0.0 -97.684851,30.31132,0.0 -97.6791,30.308356,0.0 -97.678757,30.307689,0.0 -97.676353,30.308059,0.0 -97.673092,30.307985,0.0 -97.669229,30.308875,0.0 -97.66717,30.309986,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,
135,Reagan High School,269,477,746,36%,64%,1,69,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.710171,30.309097,0.0 -97.699871,30.304503,0.0 -97.698927,30.303836,0.0 -97.688198,30.321026,0.0 -97.683735,30.321767,0.0 -97.680387,30.323026,0.0 -97.690172,30.329324,0.0 -97.691374,30.327323,0.0 -97.694893,30.321841,0.0 -97.69927,30.317544,0.0 -97.710171,30.309097,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.710171,30.309097,0.0 -97.699871,30.304503,0.0 -97.698927,30.303836,0.0 -97.688198,30.321026,0.0 -97.683735,30.321767,0.0 -97.680387,30.323026,0.0 -97.690172,30.329324,0.0 -97.691374,30.327323,0.0 -97.694893,30.321841,0.0 -97.69927,30.317544,0.0 -97.710171,30.309097,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,
136,Ridgetop School,148,364,512,29%,71%,1,69,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.719741,30.294943,0.0 -97.715321,30.301835,0.0 -97.713368,30.30517,0.0 -97.710171,30.309097,0.0 -97.69927,30.317544,0.0 -97.694893,30.321841,0.0 -97.70648,30.322248,0.0 -97.712617,30.320359,0.0 -97.714634,30.320248,0.0 -97.715878,30.320619,0.0 -97.722831,30.30969,0.0 -97.724547,30.306948,0.0 -97.724161,30.306985,0.0 -97.719655,30.304836,0.0 -97.720985,30.302613,0.0 -97.722273,30.299982,0.0 -97.723088,30.296499,0.0 -97.719741,30.294943,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>","<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.719741,30.294943,0.0 -97.715321,30.301835,0.0 -97.713368,30.30517,0.0 -97.710171,30.309097,0.0 -97.69927,30.317544,0.0 -97.694893,30.321841,0.0 -97.70648,30.322248,0.0 -97.712617,30.320359,0.0 -97.714634,30.320248,0.0 -97.715878,30.320619,0.0 -97.722831,30.30969,0.0 -97.724547,30.306948,0.0 -97.724161,30.306985,0.0 -97.719655,30.304836,0.0 -97.720985,30.302613,0.0 -97.722273,30.299982,0.0 -97.723088,30.296499,0.0 -97.719741,30.294943,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,
221,Pease School,95,128,223,43%,57%,2,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.740641,30.274116,0.0 -97.751284,30.276933,0.0 -97.754202,30.277822,0.0 -97.757034,30.273226,0.0 -97.765016,30.276265,0.0 -97.768364,30.270706,0.0 -97.754374,30.265072,0.0 -97.74519,30.261773,0.0 -97.740641,30.274116,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.740641,30.274116,0.0 -97.751284,30.276933,0.0 -97.754202,30.277822,0.0 -97.757034,30.273226,0.0 -97.765016,30.276265,0.0 -97.768364,30.270706,0.0 -97.754374,30.265072,0.0 -97.74519,30.261773,0.0 -97.740641,30.274116,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
222,O'Henry Jr High School,355,229,584,61%,39%,2,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.768364,30.270706,0.0 -97.766132,30.274264,0.0 -97.767076,30.277451,0.0 -97.766991,30.280342,0.0 -97.763729,30.285827,0.0 -97.771969,30.290422,0.0 -97.785873,30.297018,0.0 -97.786903,30.29146,0.0 -97.785165,30.284845,0.0 -97.768364,30.270706,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.768364,30.270706,0.0 -97.766132,30.274264,0.0 -97.767076,30.277451,0.0 -97.766991,30.280342,0.0 -97.763729,30.285827,0.0 -97.771969,30.290422,0.0 -97.785873,30.297018,0.0 -97.786903,30.29146,0.0 -97.785165,30.284845,0.0 -97.768364,30.270706,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
223,Austin High School Gym,111,129,240,46%,54%,2,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.751284,30.276933,0.0 -97.740641,30.274116,0.0 -97.738152,30.280639,0.0 -97.750168,30.283974,0.0 -97.752228,30.283752,0.0 -97.751026,30.282418,0.0 -97.750425,30.280342,0.0 -97.751284,30.276933,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.751284,30.276933,0.0 -97.740641,30.274116,0.0 -97.738152,30.280639,0.0 -97.750168,30.283974,0.0 -97.752228,30.283752,0.0 -97.751026,30.282418,0.0 -97.750425,30.280342,0.0 -97.751284,30.276933,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
224,Matthews School,295,395,690,43%,57%,2,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.766132,30.274264,0.0 -97.765016,30.276265,0.0 -97.757034,30.273226,0.0 -97.754202,30.277822,0.0 -97.751284,30.276933,0.0 -97.750425,30.280342,0.0 -97.751026,30.282418,0.0 -97.752228,30.283752,0.0 -97.753258,30.285382,0.0 -97.753172,30.287013,0.0 -97.752743,30.288569,0.0 -97.754545,30.289088,0.0 -97.755318,30.289014,0.0 -97.756176,30.28931,0.0 -97.757635,30.291089,0.0 -97.759952,30.292275,0.0 -97.766991,30.280342,0.0 -97.767076,30.277451,0.0 -97.766132,30.274264,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.766132,30.274264,0.0 -97.765016,30.276265,0.0 -97.757034,30.273226,0.0 -97.754202,30.277822,0.0 -97.751284,30.276933,0.0 -97.750425,30.280342,0.0 -97.751026,30.282418,0.0 -97.752228,30.283752,0.0 -97.753258,30.285382,0.0 -97.753172,30.287013,0.0 -97.752743,30.288569,0.0 -97.754545,30.289088,0.0 -97.755318,30.289014,0.0 -97.756176,30.28931,0.0 -97.757635,30.291089,0.0 -97.759952,30.292275,0.0 -97.766991,30.280342,0.0 -97.767076,30.277451,0.0 -97.766132,30.274264,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
225,Texas State Bank,169,55,224,75%,25%,2,60,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.752743,30.288569,0.0 -97.753172,30.287013,0.0 -97.753258,30.285382,0.0 -97.752228,30.283752,0.0 -97.750168,30.283974,0.0 -97.738152,30.280639,0.0 -97.73695,30.287235,0.0 -97.752743,30.288569,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",,,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-97.752743,30.288569,0.0 -97.753172,30.287013,0.0 -97.753258,30.285382,0.0 -97.752228,30.283752,0.0 -97.750168,30.283974,0.0 -97.738152,30.280639,0.0 -97.73695,30.287235,0.0 -97.752743,30.288569,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
